Rainfall - (MM), Year,Month, Country, ISO3
32.7424,1968,4, India, IND
36.9797,1968,5, India, IND
153.015,1968,6, India, IND
254.27,1968,7, India, IND
191.906,1968,8, India, IND
136.711,1968,9, India, IND
65.6545,1968,10, India, IND
18.4059,1968,11, India, IND
7.66313,1968,12, India, IND
6.23113,1969,1, India, IND
5.72531,1969,2, India, IND
16.2231,1969,3, India, IND
27.8309,1969,4, India, IND
48.4612,1969,5, India, IND
111.812,1969,6, India, IND
309.225,1969,7, India, IND
233.41,1969,8, India, IND
167.778,1969,9, India, IND
50.8974,1969,10, India, IND
35.16,1969,11, India, IND
11.5289,1969,12, India, IND
17.1551,1970,1, India, IND
16.9837,1970,2, India, IND
21.0609,1970,3, India, IND
22.0062,1970,4, India, IND
56.6468,1970,5, India, IND
211.115,1970,6, India, IND
230.901,1970,7, India, IND
311.853,1970,8, India, IND
218.528,1970,9, India, IND
71.5668,1970,10, India, IND
15.1649,1970,11, India, IND
0.85389,1970,12, India, IND
10.8532,1971,1, India, IND
13.7409,1971,2, India, IND
9.2556,1971,3, India, IND
37.184,1971,4, India, IND
65.2515,1971,5, India, IND
207.019,1971,6, India, IND
222.849,1971,7, India, IND
265.659,1971,8, India, IND
154.627,1971,9, India, IND
91.2514,1971,10, India, IND
13.3402,1971,11, India, IND
7.88924,1971,12, India, IND
5.32375,1972,1, India, IND
17.322,1972,2, India, IND
9.29708,1972,3, India, IND
23.2947,1972,4, India, IND
39.8133,1972,5, India, IND
105.254,1972,6, India, IND
184.621,1972,7, India, IND
208.027,1972,8, India, IND
129.332,1972,9, India, IND
61.2008,1972,10, India, IND
26.5009,1972,11, India, IND
14.5996,1972,12, India, IND
11.4506,1973,1, India, IND
12.8127,1973,2, India, IND
13.3934,1973,3, India, IND
19.8921,1973,4, India, IND
61.1373,1973,5, India, IND
144.624,1973,6, India, IND
279.655,1973,7, India, IND
291.663,1973,8, India, IND
171.769,1973,9, India, IND
110.453,1973,10, India, IND
17.1955,1973,11, India, IND
15.4704,1973,12, India, IND
5.09033,1974,1, India, IND
5.53413,1974,2, India, IND
17.7971,1974,3, India, IND
23.8274,1974,4, India, IND
63.458,1974,5, India, IND
118.991,1974,6, India, IND
257.582,1974,7, India, IND
213.459,1974,8, India, IND
138.223,1974,9, India, IND
105.813,1974,10, India, IND
8.82648,1974,11, India, IND
5.10887,1974,12, India, IND
11.7877,1975,1, India, IND
13.2781,1975,2, India, IND
17.829,1975,3, India, IND
18.0512,1975,4, India, IND
49.4565,1975,5, India, IND
180.647,1975,6, India, IND
281.81,1975,7, India, IND
256.42,1975,8, India, IND
245.24,1975,9, India, IND
104.847,1975,10, India, IND
21.202,1975,11, India, IND
2.63675,1975,12, India, IND
7.87129,1976,1, India, IND
12.3669,1976,2, India, IND
11.8534,1976,3, India, IND
27.0638,1976,4, India, IND
44.5373,1976,5, India, IND
155.491,1976,6, India, IND
